Q1,Q4,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q2,Q3
What is your affiliation with CWRU?,Have you ever browsed the CWRU bookstore (in-person/online)?,Have you ever purchased from the CWRU bookstore (in-person/online)?,What type of clothing would you be most interested in purchasing?,What is the most important factor you consider when deciding to purchase new apparel?,What size logo do you prefer on clothing?,What type of text style do you prefer?,Do you prefer simple or detailed designs?,What color style do you prefer for clothing styles?,Where would you be most likely to purchase your CWRU apparel?,What social media platforms do you use most frequently?,Where can you recall viewing online advertisements within the past month? (select all that apply),How frequently do you read your CWRU email?,Which type of online advertisement would most influence you to purchase clothing?,How likely are you to purchase apparel after seeing an online advertisement?,Where are you most likely to notice in-person advertisements around campus?,Which type of in-person advertisement would most catch your attention?,How likely are you to purchase bookstore clothing after seeing an in-person advertisement?,What would make you more likely to engage with an in-person promotion?,"In the last 3 months, what is the most you have spent on a single non-essential clothing item?",On average how much do you spend on a single item of clothing during a typical shopping trip/purchase?,How likely are you to purchase clothing from the CWRU bookstore next semester?,"In a few sentences, please summarize anything that would make you more likely to buy clothing from the CWRU bookstore.",Any other feedback or suggestions for the bookstore's clothing selection?,What is your current year in school?,What is your gender?
Undergraduate student,yes,yes,Crewneck Sweatshirt,Price,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",Either,Tiktok,"Social media,Other",11+ times per week,Discounts/sales,2-  Unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,2- Unlikely,Free giveaways,<$10,$10 - $20,2-  Unlikely,,,Junior,Female
Undergraduate student,yes,yes,"T-shirt,Long-sleeve shirt,Hoodie,Socks,Scarves",Price,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",Online,"Instagram,Tiktok","Social media,Email",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,1- Very unlikely,Free giveaways,$30 - $40,$20 - $30,1- Very unlikely,Free giveaways and discounts,,Senior,Female
Undergraduate student,yes,yes,Hoodie,Price,Large,Script/stylized fonts,Some detail,Pastel colors,Either,Instagram,Email,11+ times per week,New apparel announcements,1- Very unlikely,Tinkham Veale Student Center,Hand-held Flyers,1- Very unlikely,Free giveaways,<$10,<$10,2-  Unlikely,,,Freshman,Male
Undergraduate student,yes,yes,Hoodie,Price,Medium,Script/stylized fonts,Some detail,"School colors (blue, white)",In person,None of the above listed,"Email,Other",4-6 times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Posters,1- Very unlikely,Free giveaways,<$10,$10 - $20,1- Very unlikely,,,Senior,Male
Undergraduate student,yes,yes,T-shirt,Comfort,Medium,"Thin, minimal lettering",Very simple,"School colors (blue, white)",Online,None of the above listed,"Email,University websites,Other",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$50+,$10 - $20,1- Very unlikely,Tbh I don’t love Case that much and don’t want to be free advertising so I don’t wear Case branded clothes unless they’re very comfortable ,I have a pair of Case champion sweatpants from like 3-4 years ago that are great. Bring them back,Senior,Male
Undergraduate student,yes,no,Hoodie,Price,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",Either,Instagram,"Email,University websites,Other",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,3- Likely,Free giveaways,$20 - $30,$20 - $30,3- Likely,Make prices affordable and designs simpler and more appealing,,Freshman,Male
Undergraduate student,yes,yes,"T-shirt,Long-sleeve shirt,Hoodie",Style,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",In person,Instagram,"Social media,Email",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$40 - $50,$20 - $30,2-  Unlikely,,,Junior,Female
Undergraduate student,yes,yes,"Hat,Hoodie",Price,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,Instagram,Social media,7-10 times per week,Discounts/sales,2-  Unlikely,Tinkham Veale Student Center,Posters,2- Unlikely,Free giveaways,$10 - $20,$10 - $20,2-  Unlikely,,,Freshman,Male
Undergraduate student,no,,Hoodie,Style,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",Online,Instagram,"Social media,Email,University websites",4-6 times per week,New apparel announcements,1- Very unlikely,Tinkham Veale Student Center,Posters,2- Unlikely,Free giveaways,$50+,$50+,1- Very unlikely,Better style and cheaper,,Junior,Female
Undergraduate student,yes,yes,"T-shirt,Hoodie",Style,Large,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,Instagram,"Social media,Email",11+ times per week,Student promotions,2-  Unlikely,Residence Halls,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$50+,$20 - $30,2-  Unlikely,Cool new designs,No,Sophomore,Male
Undergraduate student,yes,yes,"Long-sleeve shirt,Crewneck Sweatshirt",Price,Large,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,"Instagram,Tiktok","Social media,Email,Other",11+ times per week,Discounts/sales,1- Very unlikely,Academic Buildings,Posters,2- Unlikely,Free giveaways,<$10,<$10,2-  Unlikely,,,Senior,Male
Undergraduate student,no,,"T-shirt,Crewneck Sweatshirt,Hoodie",Style,Medium,"Thin, minimal lettering",Some detail,Pastel colors,Either,"Instagram,X","Social media,Email",11+ times per week,Discounts/sales,2-  Unlikely,Residence Halls,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$50+,$40 - $50,2-  Unlikely,more sales and discounts of passably interesting clothing ,,Sophomore,Male
Undergraduate student,yes,yes,"T-shirt,Crewneck Sweatshirt,Hoodie,Socks,Scarves",Price,Medium,"Thin, minimal lettering",Very simple,"School colors (blue, white)",Either,"Instagram,X","Email,University websites",4-6 times per week,Discounts/sales,1- Very unlikely,Academic Buildings,Student Announcements prior to class periods,1- Very unlikely,Free giveaways,$40 - $50,$10 - $20,2-  Unlikely,If the merch were drippy and well priced,,Senior,Male
Undergraduate student,yes,yes,"Hat,T-shirt,Hoodie",Price,Large,"Thin, minimal lettering",Very simple,"School colors (blue, white)",Online,"Instagram,Tiktok",None of the above,4-6 times per week,Discounts/sales,2-  Unlikely,Dinings Halls,Student Announcements prior to class periods,1- Very unlikely,Discounts/sales,$20 - $30,$20 - $30,3- Likely,,,Freshman,Male
Undergraduate student,yes,yes,"Hat,T-shirt,Long-sleeve shirt,Hoodie",Price,Large,"Bold, block lettering",Very simple,"Neutral colors (black, white, gray)",Either,Instagram,Email,11+ times per week,Student promotions,1- Very unlikely,Tinkham Veale Student Center,Posters,1- Very unlikely,Free giveaways,$30 - $40,$20 - $30,2-  Unlikely,,,Sophomore,Female
Undergraduate student,yes,yes,"T-shirt,Hoodie",Price,Medium,"Bold, block lettering",Some detail,"Neutral colors (black, white, gray)",In person,"Instagram,Facebook","Social media,Email",11+ times per week,Discounts/sales,2-  Unlikely,Tinkham Veale Student Center,Hand-held Flyers,3- Likely,Limited-time offers,$30 - $40,$20 - $30,4- Very likely,,,Sophomore,Male
Undergraduate student,yes,yes,"T-shirt,Long-sleeve shirt,Crewneck Sweatshirt",Price,Medium,Script/stylized fonts,Very detailed,"School colors (blue, white)",In person,Instagram,"Social media,Email",11+ times per week,Student promotions,1- Very unlikely,Tinkham Veale Student Center,Posters,1- Very unlikely,Free giveaways,$40 - $50,$40 - $50,2-  Unlikely,"Maybe if it were to be discounted through purchasing something simpler and lower priced, like a soda or academic materials.",,Freshman,Male
Undergraduate student,yes,yes,"Hat,T-shirt,Hoodie",Price,Small,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,Instagram,"Social media,Email,University websites,Other",4-6 times per week,Discounts/sales,2-  Unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$20 - $30,$20 - $30,3- Likely,New designs would be interesting and probably a good reason to buy something. Also CWRU 200 merch in the fall.,,Junior,Male
Undergraduate student,no,,"Hat,Crewneck Sweatshirt,Hoodie",Price,Small,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",In person,Instagram,"Social media,Email",7-10 times per week,Discounts/sales,2-  Unlikely,Residence Halls,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$20 - $30,$10 - $20,2-  Unlikely,,,Freshman,Female
Undergraduate student,yes,yes,"T-shirt,Crewneck Sweatshirt,Hoodie,Socks",Style,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",In person,"Instagram,Tiktok",Email,0-3 times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,3- Likely,Free giveaways,$50+,$50+,2-  Unlikely,,,Senior,Female
Undergraduate student,yes,yes,"Crewneck Sweatshirt,Hoodie",Style,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,"Instagram,Tiktok",None of the above,7-10 times per week,Discounts/sales,2-  Unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$50+,$20 - $30,1- Very unlikely,Better designs and better prices,,Junior,Female
Undergraduate student,yes,yes,"Crewneck Sweatshirt,Hoodie",Price,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,"Instagram,Tiktok",Social media,11+ times per week,Discounts/sales,3- Likely,Residence Halls,Posters,3- Likely,Discounts/sales,$10 - $20,$20 - $30,2-  Unlikely,,,Senior,Female
Undergraduate student,no,,"T-shirt,Long-sleeve shirt,Crewneck Sweatshirt,Hoodie",Style,Small,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",Either,"Instagram,Tiktok","Social media,Email",7-10 times per week,New apparel announcements,2-  Unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,3- Likely,Free giveaways,$50+,$30 - $40,3- Likely,,,Sophomore,Female
Undergraduate student,yes,yes,"T-shirt,Hoodie",Price,Medium,"Thin, minimal lettering",Some detail,"School colors (blue, white)",Either,"Instagram,Tiktok","Social media,Email,University websites",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$30 - $40,$30 - $40,2-  Unlikely,"If there was a good deal, such as a buy one get one free or something else that lowered the price on an item I liked.",,Junior,Male
Undergraduate student,yes,yes,"Crewneck Sweatshirt,Hoodie",Style,Large,Script/stylized fonts,Very detailed,Pastel colors,In person,Instagram,"Social media,Email",11+ times per week,Discounts/sales,2-  Unlikely,Residence Halls,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$50+,$50+,3- Likely,,,Freshman,Female
Undergraduate student,yes,yes,Hoodie,Style,Small,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",Either,"Instagram,X",Social media,7-10 times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,1- Very unlikely,Discounts/sales,$50+,$50+,1- Very unlikely,,,Sophomore,Male
Undergraduate student,no,,Crewneck Sweatshirt,Price,Medium,"Thin, minimal lettering",Very simple,"Neutral colors (black, white, gray)",Online,Instagram,None of the above,11+ times per week,Discounts/sales,2-  Unlikely,Residence Halls,Student Announcements prior to class periods,2- Unlikely,Free giveaways,<$10,$50+,1- Very unlikely,,,Freshman,Male
Undergraduate student,yes,yes,"Hat,Crewneck Sweatshirt,Hoodie",Price,Large,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",Either,"Instagram,Tiktok,X","Social media,Email",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Posters,2- Unlikely,Free giveaways,$50+,$40 - $50,1- Very unlikely,,,Junior,Male
Undergraduate student,no,,"Long-sleeve shirt,Hoodie",Style,Small,"Thin, minimal lettering",Very simple,"School colors (blue, white)",Online,Instagram,"Social media,Email",11+ times per week,Student promotions,1- Very unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,1- Very unlikely,Free giveaways,<$10,$20 - $30,1- Very unlikely,,,Junior,Male
Undergraduate student,yes,yes,Hoodie,Comfort,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",In person,Instagram,"Social media,Email,University websites",11+ times per week,Discounts/sales,1- Very unlikely,Academic Buildings,Posters,2- Unlikely,Limited-time offers,$50+,$30 - $40,1- Very unlikely,,,Senior,Male
Undergraduate student,no,,Scarves,Style,Medium,"Bold, block lettering",Very simple,"School colors (blue, white)",Online,None of the above listed,None of the above,11+ times per week,Student promotions,1- Very unlikely,Tinkham Veale Student Center,Posters,2- Unlikely,Free giveaways,$30 - $40,$20 - $30,3- Likely,,,Freshman,Non-binary
Undergraduate student,no,,Hoodie,Price,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",Online,Instagram,"Social media,Email",11+ times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Posters,4- Very likely,Discounts/sales,$50+,$40 - $50,2-  Unlikely,,,Freshman,Male
Undergraduate student,yes,yes,Hoodie,Price,Medium,"Bold, block lettering",Some detail,"School colors (blue, white)",Online,"Instagram,Tiktok,X","Social media,Email,University websites",11+ times per week,Discounts/sales,2-  Unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$10 - $20,$10 - $20,3- Likely,,,Sophomore,Male
Undergraduate student,no,,Hoodie,Price,Large,Script/stylized fonts,Some detail,Pastel colors,Either,Instagram,"Social media,Email",11+ times per week,Discounts/sales,3- Likely,Tinkham Veale Student Center,Student Announcements prior to class periods,3- Likely,Limited-time offers,$10 - $20,$10 - $20,2-  Unlikely,,,Junior,Male
Undergraduate student,yes,yes,"Hat,Hoodie",Price,Small,"Thin, minimal lettering",Very simple,"Neutral colors (black, white, gray)",In person,Instagram,"Social media,Email",11+ times per week,Student promotions,2-  Unlikely,Tinkham Veale Student Center,Posters,2- Unlikely,Free giveaways,$30 - $40,$30 - $40,2-  Unlikely,,,Junior,Male
Undergraduate student,yes,yes,"T-shirt,Long-sleeve shirt,Hoodie",Style,Small,"Thin, minimal lettering",Very simple,"Neutral colors (black, white, gray)",Either,"Instagram,Tiktok","Social media,Email",11+ times per week,Student promotions,2-  Unlikely,Residence Halls,Posters,2- Unlikely,Free giveaways,$50+,$50+,3- Likely,,,Sophomore,Male
Undergraduate student,yes,yes,Hoodie,Price,Small,"Thin, minimal lettering",Very detailed,Pastel colors,Online,None of the above listed,None of the above,0-3 times per week,Student promotions,1- Very unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,1- Very unlikely,Free giveaways,<$10,$30 - $40,1- Very unlikely,,,Senior,Male
Undergraduate student,yes,yes,"T-shirt,Hoodie",Comfort,Medium,"Thin, minimal lettering",Some detail,"School colors (blue, white)",Online,"Instagram,Tiktok",University websites,7-10 times per week,Discounts/sales,3- Likely,Residence Halls,Posters,3- Likely,Free giveaways,$10 - $20,$20 - $30,3- Likely,,,Junior,Female
Undergraduate student,yes,yes,"T-shirt,Crewneck Sweatshirt",Price,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",In person,Instagram,"Social media,Email",4-6 times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Posters,2- Unlikely,Free giveaways,$20 - $30,$40 - $50,2-  Unlikely,,,Junior,Female
Undergraduate student,yes,yes,"Hat,Crewneck Sweatshirt,Hoodie",Style,Medium,Script/stylized fonts,Some detail,"School colors (blue, white)",In person,"Instagram,Tiktok","Social media,Email",11+ times per week,Student promotions,1- Very unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$50+,$20 - $30,3- Likely,If they stopped making butt ugly millennials designs. They have to cater to the youth. They also need to make comical shirts. I would like more spartie.,,Sophomore,Female
Undergraduate student,no,,"Hat,T-shirt,Hoodie",Price,Medium,"Bold, block lettering",Very simple,"School colors (blue, white)",Online,Instagram,"Social media,Email,University websites,Other",11+ times per week,Discounts/sales,2-  Unlikely,Residence Halls,Posters,2- Unlikely,Free giveaways,$30 - $40,$20 - $30,1- Very unlikely,,,Sophomore,Male
Undergraduate student,no,,"T-shirt,Hoodie",Price,Small,Script/stylized fonts,Very detailed,Pastel colors,Either,"Instagram,X","Social media,Email,University websites",11+ times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$30 - $40,$10 - $20,3- Likely,Lower prices,,Junior,Male
Undergraduate student,yes,yes,Crewneck Sweatshirt,Price,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",In person,"Instagram,Tiktok","Social media,Email,University websites",11+ times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Posters,2- Unlikely,Discounts/sales,$30 - $40,$40 - $50,1- Very unlikely,,,Senior,Female
Undergraduate student,no,,"T-shirt,Crewneck Sweatshirt,Hoodie",Price,Small,Script/stylized fonts,Very simple,"School colors (blue, white)",Either,"Instagram,Tiktok",Email,4-6 times per week,Discounts/sales,1- Very unlikely,Tinkham Veale Student Center,Student Announcements prior to class periods,2- Unlikely,Free giveaways,$20 - $30,$10 - $20,1- Very unlikely,,,Junior,Female
Undergraduate student,yes,yes,Crewneck Sweatshirt,Style,Medium,Script/stylized fonts,Some detail,"School colors (blue, white)",In person,Instagram,Email,4-6 times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$50+,$20 - $30,2-  Unlikely,,,Sophomore,Female
Undergraduate student,yes,yes,"Crewneck Sweatshirt,Hoodie",Style,Medium,"Bold, block lettering",Some detail,"Neutral colors (black, white, gray)",In person,"Instagram,Tiktok",Social media,4-6 times per week,Discounts/sales,2-  Unlikely,Academic Buildings,Student Announcements prior to class periods,2- Unlikely,Discounts/sales,$50+,$40 - $50,1- Very unlikely,,,Senior,Female
Undergraduate student,yes,no,"T-shirt,Hoodie",Comfort,Medium,"Bold, block lettering",Some detail,Pastel colors,Online,"Instagram,Tiktok","Social media,University websites",4-6 times per week,Discounts/sales,4- Very likely,Dinings Halls,Posters,2- Unlikely,Free giveaways,$30 - $40,$20 - $30,3- Likely,"Offering more discounts and a wider range of styles, including trendy designs, would encourage me to purchase from the bookstore.",Consider expanding size ranges and adding sustainable apparel options.,Junior,Male
Graduate student,yes,no,Crewneck Sweatshirt,Comfort,Medium,Script/stylized fonts,Some detail,"School colors (blue, white)",Online,Instagram,"Social media,University websites",7-10 times per week,Student promotions,3- Likely,Tinkham Veale Student Center,Posters,2- Unlikely,Free giveaways,$30 - $40,$10 - $20,4- Very likely,"If there were more sales and unique designs that align with current fashion trends, I'd be more inclined to purchase.",Consider adding more sustainable materials and inclusive sizing options.,Junior,Female
Graduate student,yes,no,"Long-sleeve shirt,Socks",Comfort,Medium,"Thin, minimal lettering",Some detail,"Neutral colors (black, white, gray)",Online,"Instagram,Tiktok","Social media,University websites",4-6 times per week,Discounts/sales,3- Likely,Residence Halls,Posters,2- Unlikely,Free giveaways,$30 - $40,$20 - $30,3- Likely,"I would be more inclined to buy clothing if the bookstore offered a wider range of styles, competitive prices, and comfortable materials. Seasonal discounts or limited-edition designs would also make me more interested.",Expanding size options and incorporating more modern designs could improve the selection. Using sustainable fabrics and offering a variety of trending colors might attract more students.,Junior,Non-binary
